Technique,Width,Amplitude,Time,Correct
Mouse, 0.2, 1, 1776, True
Mouse, 0.2, 1, 825, True
Mouse, 0.2, 1, 623, True
Mouse, 0.2, 1, 644, True
Mouse, 0.2, 1, 630, True
Mouse, 0.2, 1, 499, True
Mouse, 0.2, 1, 630, True
Mouse, 0.2, 1, 509, True
Mouse, 0.2, 1, 525, True
Mouse, 0.4, 2, 1047, True
Mouse, 0.4, 2, 511, True
Mouse, 0.4, 2, 531, True
Mouse, 0.4, 2, 565, True
Mouse, 0.4, 2, 519, True
Mouse, 0.4, 2, 493, True
Mouse, 0.4, 2, 518, True
Mouse, 0.4, 2, 507, True
Mouse, 0.4, 2, 549, True
Mouse, 0.6, 1, 879, True
Mouse, 0.6, 1, 493, True
Mouse, 0.6, 1, 428, True
Mouse, 0.6, 1, 456, True
Mouse, 0.6, 1, 459, True
Mouse, 0.6, 1, 544, True
Mouse, 0.6, 1, 596, True
Mouse, 0.6, 1, 508, True
Mouse, 0.6, 1, 484, True
Mouse, 0.6, 3, 957, True
Mouse, 0.6, 3, 606, False
Mouse, 0.6, 3, 416, True
Mouse, 0.6, 3, 666, True
Mouse, 0.6, 3, 455, True
Mouse, 0.6, 3, 483, True
Mouse, 0.6, 3, 519, True
Mouse, 0.6, 3, 475, True
Mouse, 0.6, 3, 527, True
Mouse, 0.6, 3, 421, True
Mouse, 0.2, 2, 947, True
Mouse, 0.2, 2, 751, True
Mouse, 0.2, 2, 675, True
Mouse, 0.2, 2, 878, True
Mouse, 0.2, 2, 710, True
Mouse, 0.2, 2, 716, True
Mouse, 0.2, 2, 677, True
Mouse, 0.2, 2, 725, True
Mouse, 0.2, 2, 669, True
Mouse, 0.4, 3, 846, True
Mouse, 0.4, 3, 439, True
Mouse, 0.4, 3, 523, True
Mouse, 0.4, 3, 559, True
Mouse, 0.4, 3, 452, True
Mouse, 0.4, 3, 532, True
Mouse, 0.4, 3, 478, True
Mouse, 0.4, 3, 551, True
Mouse, 0.4, 3, 525, True
Mouse, 0.2, 3, 731, True
Mouse, 0.2, 3, 661, True
Mouse, 0.2, 3, 735, True
Mouse, 0.2, 3, 693, True
Mouse, 0.2, 3, 773, True
Mouse, 0.2, 3, 709, True
Mouse, 0.2, 3, 725, True
Mouse, 0.2, 3, 635, True
Mouse, 0.2, 3, 680, True
Mouse, 0.6, 2, 659, True
Mouse, 0.6, 2, 460, True
Mouse, 0.6, 2, 442, True
Mouse, 0.6, 2, 424, True
Mouse, 0.6, 2, 449, True
Mouse, 0.6, 2, 379, True
Mouse, 0.6, 2, 508, True
Mouse, 0.6, 2, 509, True
Mouse, 0.6, 2, 478, True
Mouse, 0.4, 1, 787, True
Mouse, 0.4, 1, 519, True
Mouse, 0.4, 1, 396, True
Mouse, 0.4, 1, 428, True
Mouse, 0.4, 1, 374, True
Mouse, 0.4, 1, 405, True
Mouse, 0.4, 1, 421, True
Mouse, 0.4, 1, 413, True
Mouse, 0.4, 1, 421, True
TouchPad, 0.2, 1, 2343, True
TouchPad, 0.2, 1, 990, True
TouchPad, 0.2, 1, 911, True
TouchPad, 0.2, 1, 970, True
TouchPad, 0.2, 1, 868, True
TouchPad, 0.2, 1, 751, True
TouchPad, 0.2, 1, 857, True
TouchPad, 0.2, 1, 877, True
TouchPad, 0.2, 1, 738, True
TouchPad, 0.4, 1, 677, True
TouchPad, 0.4, 1, 688, True
TouchPad, 0.4, 1, 600, True
TouchPad, 0.4, 1, 729, True
TouchPad, 0.4, 1, 683, True
TouchPad, 0.4, 1, 620, True
TouchPad, 0.4, 1, 651, True
TouchPad, 0.4, 1, 598, True
TouchPad, 0.4, 1, 760, True
TouchPad, 0.6, 1, 689, True
TouchPad, 0.6, 1, 629, True
TouchPad, 0.6, 1, 599, True
TouchPad, 0.6, 1, 603, True
TouchPad, 0.6, 1, 545, True
TouchPad, 0.6, 1, 547, True
TouchPad, 0.6, 1, 565, True
TouchPad, 0.6, 1, 610, True
TouchPad, 0.6, 1, 575, True
TouchPad, 0.2, 2, 939, True
TouchPad, 0.2, 2, 1122, True
TouchPad, 0.2, 2, 895, True
TouchPad, 0.2, 2, 1115, True
TouchPad, 0.2, 2, 891, True
TouchPad, 0.2, 2, 1121, True
TouchPad, 0.2, 2, 1180, True
TouchPad, 0.2, 2, 977, True
TouchPad, 0.2, 2, 935, True
TouchPad, 0.4, 2, 803, True
TouchPad, 0.4, 2, 704, True
TouchPad, 0.4, 2, 786, True
TouchPad, 0.4, 2, 713, True
TouchPad, 0.4, 2, 612, True
TouchPad, 0.4, 2, 655, True
TouchPad, 0.4, 2, 742, True
TouchPad, 0.4, 2, 835, True
TouchPad, 0.4, 2, 713, True
TouchPad, 0.6, 3, 849, True
TouchPad, 0.6, 3, 709, True
TouchPad, 0.6, 3, 702, True
TouchPad, 0.6, 3, 643, True
TouchPad, 0.6, 3, 656, True
TouchPad, 0.6, 3, 622, True
TouchPad, 0.6, 3, 632, True
TouchPad, 0.6, 3, 730, True
TouchPad, 0.6, 3, 864, True
TouchPad, 0.6, 2, 696, True
TouchPad, 0.6, 2, 763, True
TouchPad, 0.6, 2, 688, True
TouchPad, 0.6, 2, 712, True
TouchPad, 0.6, 2, 821, True
TouchPad, 0.6, 2, 652, True
TouchPad, 0.6, 2, 713, True
TouchPad, 0.6, 2, 679, True
TouchPad, 0.6, 2, 650, True
TouchPad, 0.2, 3, 951, True
TouchPad, 0.2, 3, 1013, True
TouchPad, 0.2, 3, 952, True
TouchPad, 0.2, 3, 867, True
TouchPad, 0.2, 3, 715, True
TouchPad, 0.2, 3, 878, True
TouchPad, 0.2, 3, 925, True
TouchPad, 0.2, 3, 967, True
TouchPad, 0.2, 3, 1456, True
TouchPad, 0.4, 3, 945, True
TouchPad, 0.4, 3, 892, True
TouchPad, 0.4, 3, 861, True
TouchPad, 0.4, 3, 781, True
TouchPad, 0.4, 3, 625, True
TouchPad, 0.4, 3, 812, True
TouchPad, 0.4, 3, 722, True
TouchPad, 0.4, 3, 755, True
TouchPad, 0.4, 3, 636, True
